start,end,today,username,subscriberid,deviceid,phonenumber,_0_Reviewer,paper_title,publication_year,paper_doi,publication_type,author_affiliation_type,country_studied,country_studied_multiple,country_studied_other,author_in_country_studied,disease,objectives,other_objective,individual_representation,individual_representation_othe,space_representation,model_structure,model_structure_unclear_reason,parametrization,validation,validation_other,outbreak_type,intervention_modelled,intervention_modelled_other,vax_modelled_with_non_vax,is_vax_effective,modelling_timing,outcome_measured,outcome_measured_other,sensitivity_analysis,data_used,data_available,simulation_code_available,__version__,_version_,meta/audit,meta/instanceID,_uuid,_submission_time,_tags,_notes,_validation_status
2021-02-09T02:15:09.329+02:00,2021-02-10T14:50:14.182+02:00,2021-02-09,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Critical response to post-outbreak vaccination against foot-and-mouth disease,2006,10.1090/conm/410/07721,book_chapter,academic_institutions government_institutions,UY,n/a,n/a,no,FMD,assess_impact_future,n/a,compartments,n/a,yes,deterministic,n/a,values_fitted_to_ts,compared_with_data,n/a,real_outbreak,vaccination,n/a,no,n/a,retrospective,final_epidemic_size,n/a,no,yes,no,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:c6dcbfd2-dc61-4f6c-b9ff-17463acce1c8,c6dcbfd2-dc61-4f6c-b9ff-17463acce1c8,2021-02-10T12:50:27,,,{}
2021-01-15T02:36:28.118+02:00,2021-01-15T02:55:20.947+02:00,2021-01-15,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Controlling an influenza outbreak in deterministic and stochastic models with the emergence and evolution of drug resistance (Model 1),2011,https://doi.org/10.1109/iccsa.2011.66,conference_proceeding,academic_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic stochastic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis treatment,n/a,no,n/a,prospective,attack_rate,n/a,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:1ad5f722-5e3e-4406-98e4-2191ca2f3cf4,1ad5f722-5e3e-4406-98e4-2191ca2f3cf4,2021-01-15T00:55:32,,,{}
2021-01-14T00:38:44.251+02:00,2021-01-14T01:05:45.607+02:00,2021-01-14,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Antiviral prophylaxis and isolation for the control of pandemic influenza,2014,https://doi.org/10.3390/ijerph110807690,original_research,academic_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis isolation,n/a,no,n/a,prospective,outcome_other,Control reproduction number,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:9b262b12-4e44-403a-8ade-173a2f0e6920,9b262b12-4e44-403a-8ade-173a2f0e6920,2021-01-13T23:05:59,,,{}
2021-01-14T00:24:50.380+02:00,2021-01-14T00:38:44.078+02:00,2021-01-14,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Analysis of a TB model with treatment interruptions,2016,https://doi.org/10.22436/jnsa.009.04.13,original_research,academic_institutions,none,n/a,n/a,NA,Tuberculosis,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,treatment,n/a,no,n/a,prospective,outcome_other,Control reproduction number,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:27c44819-2013-4a98-bc22-2786984f844b,27c44819-2013-4a98-bc22-2786984f844b,2021-01-13T22:38:57,,,{}
2021-01-17T01:49:47.877+02:00,2021-01-17T02:21:33.418+02:00,2021-01-17,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Scenarios of diffusion and control of an influenza pandemic in Italy,2008,https://doi.org/10.1017/S095026880800037X,original_research,academic_institutions government_institutions,IT,n/a,n/a,yes,Influenza,assess_impact_future,n/a,compartments,n/a,yes,deterministic stochastic,n/a,values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis distancing school_closure vaccination work_closure intervention_other,Closure of public places,yes,yes,prospective,outbreak_duration_and_timing timing_of_peak outcome_other,Cumulative attack rate,yes,yes,yes,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:7d3512c2-d17d-401d-9663-b79dbf22a3f4,7d3512c2-d17d-401d-9663-b79dbf22a3f4,2021-01-17T00:21:45,,,{}
2021-01-17T01:28:55.209+02:00,2021-01-17T01:49:47.750+02:00,2021-01-17,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Simulating school closure policies for cost effective pandemic decision making,2012,https://doi.org/10.1186/1471-2458-12-449,original_research,academic_institutions government_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,school_closure,n/a,no,n/a,prospective,cost qualys outcome_other,"Incremental Cost Effectiveness Ratio (ICER), Cumulative attack rate",yes,yes,yes,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:71ea6e30-d728-43e9-b64a-bd0d31788fcf,71ea6e30-d728-43e9-b64a-bd0d31788fcf,2021-01-16T23:49:59,,,{}
2021-01-14T01:05:45.798+02:00,2021-01-14T01:41:12.674+02:00,2021-01-14,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,"Assessing the role of basic control measures, antivirals and vaccine in curtailing pandemic influenza: Scenarios for the US, UK and the Netherlands",2007,https://doi.org/10.1098/rsif.2006.0186,original_research,academic_institutions,multiple,NL GB US,n/a,yes,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis treatment vaccination intervention_other,"Reduction of hospital transmission, Reduction of community transmission",yes,the_outcomes_were_inconclusive,prospective,final_epidemic_size hospitalizations outcome_other,Deaths,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:f128e162-fac3-4246-bfd6-0a7b537d31cf,f128e162-fac3-4246-bfd6-0a7b537d31cf,2021-01-13T23:41:24,,,{}
2021-01-14T00:09:24.151+02:00,2021-01-14T00:24:50.176+02:00,2021-01-14,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,An Epidemic Patchy Model with Entry–Exit Screening,2015,https://doi.org/10.1007/s11538-015-0084-6,original_research,academic_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,compartments,n/a,yes,deterministic,n/a,values_from_literature values_fitted_to_ts,model_not_validated,n/a,real_outbreak,screening,n/a,no,n/a,prospective,outcome_other,Basic reproduction number,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:309b70ac-9513-451e-becd-3d352ccd49b5,309b70ac-9513-451e-becd-3d352ccd49b5,2021-01-13T22:25:03,,,{}
2021-02-02T01:41:15.282+02:00,2021-02-02T23:45:35.169+02:00,2021-02-02,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,The global transmission and control of influenza,2011,10.1371/journal.pone.0019515,original_research,academic_institutions,other,n/a,Global,NA,Influenza,assess_impact_future,n/a,compartments,n/a,yes,stochastic,n/a,values_from_literature,compared_with_data,n/a,hypothetical_outbreak,vaccination,n/a,no,n/a,prospective,attack_rate outcome_other,Prevalence,yes,yes,yes,yes,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:a9267d3e-8341-410c-a13c-982b8fc2e7e5,a9267d3e-8341-410c-a13c-982b8fc2e7e5,2021-02-02T21:45:47,,,{}
2020-10-21T02:10:59.581+02:00,2020-10-21T05:02:00.983+02:00,2020-10-21,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,n/a,Mitigation strategies for pandemic influenza in the United States,2006,10.1073/pnas.0601266103,original_research,academic_institutions government_institutions,US,n/a,n/a,yes,Influenza,assess_impact_future,n/a,agents,n/a,yes,stochastic,n/a,values_from_literature values_are_direct_estimate_from_data,model_not_validated,n/a,hypothetical_outbreak,vaccination school_closure travel_restriction antiviral_prophylaxis,n/a,yes,yes,prospective,attack_rate,n/a,yes,yes,yes,no,v2BPxVDXNtGiFwDehkNMPB,voYPhQqAJS6afdE7amgpMX,n/a,uuid:3e19db68-34e5-44d1-8e2b-9c795a7eaa25,3e19db68-34e5-44d1-8e2b-9c795a7eaa25,2020-10-21T02:05:45,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008729, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T04:05:32.040+02:00,2020-10-21T05:00:03.258+02:00,2020-10-21,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,n/a,Modeling the dynamics of oral poliovirus vaccine cessation,2014,10.1093/infdis/jit845,original_research,academic_institutions NGO,none,n/a,n/a,no,Poliomyelitis,assess_impact_future,n/a,compartments,n/a,no,stochastic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,vaccination,n/a,no,n/a,prospective,final_epidemic_size,n/a,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,voYPhQqAJS6afdE7amgpMX,n/a,uuid:ea80c1ad-f4c2-4c6b-a831-755426b3ca65,ea80c1ad-f4c2-4c6b-a831-755426b3ca65,2020-10-21T02:38:15,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008727, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-19T20:21:21.480+01:00,2020-10-20T15:34:21.025+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Modeling the dynamics of oral poliovirus vaccine cessation,2014,https://doi.org/10.1093/infdis/jit845,original_research,academic_institutions,US,n/a,n/a,yes,Poliomyelitis,assess_impact_future,n/a,compartments,n/a,no,stochastic,n/a,values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,vaccination intervention_other,Vaccine Cessation,no,n/a,pseudo_real_time__the_study_was_conducte,final_epidemic_size,n/a,no,no,n/a,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:d6adb144-df45-4ba0-9451-5cd73e0ffcbe,d6adb144-df45-4ba0-9451-5cd73e0ffcbe,2020-10-20T14:34:32,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008733, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-20T15:34:21.190+01:00,2020-10-20T16:28:40.321+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Modeling the effect of public health resources and alerting on the dynamics of pertussis spread,2016,http://dx.doi.org/10.1057/hs.2015.6,original_research,academic_institutions,US,n/a,n/a,yes,Pertussis,assess_impact_future,n/a,compartments,n/a,no,stochastic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,vaccination contact_tracing treatment media_campaign,n/a,no,n/a,pseudo_real_time__the_study_was_conducte,campaign_duration outbreak_duration_and_timing final_epidemic_size,n/a,yes,no,n/a,yes,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:1fc6f24d-8b81-4471-8c08-f7577a0ad949,1fc6f24d-8b81-4471-8c08-f7577a0ad949,2020-10-20T15:28:51,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008731, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2021-01-13T16:34:10.342+02:00,2021-01-14T00:09:24.003+02:00,2021-01-13,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,"A model for the A(H1N1) epidemic in Mexico, including social isolation",2011,https://doi.org/10.1590/s0036-36342011000100007,original_research,academic_institutions,MX,n/a,n/a,yes,Influenza,assess_impact_past,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_fitted_to_ts,compared_with_data,n/a,real_outbreak,isolation,n/a,no,n/a,retrospective,timing_of_peak,n/a,no,yes,no,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:169afe88-4cb6-4417-989d-72a46da9d510,169afe88-4cb6-4417-989d-72a46da9d510,2021-01-13T22:09:37,,,{}
2020-10-20T16:28:40.483+01:00,2020-10-21T12:51:47.443+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Biological view of vaccination described by mathematical modellings: from rubella to dengue vaccines,2019,10.3934/mbe.2019159,original_research,academic_institutions,BR,n/a,n/a,yes,Dengue Rubella,assess_impact_past,n/a,compartments,n/a,no,stochastic,n/a,values_fitted_to_ts,model_not_validated,n/a,hypothetical_outbreak,vaccination,n/a,no,n/a,in_real_time_during_the_outbreak,final_epidemic_size,n/a,no,yes,yes,yes,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:c7071e70-57bf-4cb2-b9a1-73a440b02c4f,c7071e70-57bf-4cb2-b9a1-73a440b02c4f,2020-10-21T11:51:58,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008725, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T12:51:47.659+01:00,2020-10-21T13:06:42.324+01:00,n/a,n/a,n/a,n/a,n/a,n/a,"Stability, Bifurcation and Optimal Control Analysis of a Malaria Model in a Periodic Environment",2018,https://doi.org/10.1515/ijnsns-2017-0221,original_research,academic_institutions,IN,n/a,n/a,yes,Malaria,assess_impact_future,n/a,compartments,n/a,no,stochastic,n/a,values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,intervention_other,"bed-nets, cultivation of mosquito plant and pesticide spray",no,n/a,pseudo_real_time__the_study_was_conducte,outbreak_duration_and_timing final_epidemic_size timing_of_peak,n/a,no,no,n/a,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:b33a4d01-814d-4745-bfc9-f158ae3bab07,b33a4d01-814d-4745-bfc9-f158ae3bab07,2020-10-21T12:06:53,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008724, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T13:06:42.441+01:00,2020-10-21T13:18:24.171+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Modeling the impact of optimal screening on typhoid dynamics,2016,10.1007/s40435-014-0123-4,original_research,academic_institutions,ZW,n/a,n/a,yes,Typhoid,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,intervention_other,optimal screening,no,n/a,pseudo_real_time__the_study_was_conducte,outbreak_duration_and_timing final_epidemic_size timing_of_peak,n/a,no,no,n/a,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:3824b38a-8970-42b7-8029-4e206abe3c73,3824b38a-8970-42b7-8029-4e206abe3c73,2020-10-21T12:18:34,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008724, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T13:18:24.247+01:00,2020-10-22T01:17:16.052+02:00,2020-10-22,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,n/a,Modeling the heterogeneity of dengue transmission in a city,2018,https://doi.org/10.3390/ijerph15061128,original_research,academic_institutions,CN,n/a,n/a,yes,Dengue,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,vaccination,n/a,no,n/a,pseudo_real_time__the_study_was_conducte,outbreak_duration_and_timing final_epidemic_size,n/a,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,voYPhQqAJS6afdE7amgpMX,n/a,uuid:cc393376-cb3d-49ff-86de-0901f288bd0d,cc393376-cb3d-49ff-86de-0901f288bd0d,2020-10-21T12:31:38,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008721, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T13:31:27.873+01:00,2020-10-21T13:46:17.177+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Measles outbreak response decision-making under uncertainty: a retrospective analysis,2018,https://doi.org/10.1098/rsif.2017.0575,original_research,academic_institutions,BR,n/a,n/a,no,Measles,assess_impact_past,n/a,compartments,n/a,no,deterministic,n/a,values_are_direct_estimate_from_data,model_not_validated,n/a,real_outbreak,vaccination,n/a,no,n/a,retrospective,intervention_coverage final_epidemic_size,n/a,no,yes,yes,yes,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:62b73f84-c20f-411e-afb8-e206cf72e417,62b73f84-c20f-411e-afb8-e206cf72e417,2020-10-21T12:46:28,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008719, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2020-10-21T13:46:17.281+01:00,2020-10-21T14:02:09.337+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Comparison of cost-effectiveness of preventive and reactive mass immunization campaigns against meningococcal meningitis in West Africa: a theoretical modeling analysis,2001,https://doi.org/10.1016/S0264-410X(01)00066-4,original_research,NGO,SN,n/a,n/a,no,Meningococcal_meningitis,assess_impact_past,n/a,agents,n/a,no,deterministic,n/a,values_from_literature,model_not_validated compared_with_data,n/a,real_outbreak,vaccination,n/a,no,n/a,retrospective,cases_averted lives_saved deaths_averted cost,n/a,yes,yes,no,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:b74a655f-a273-4bad-a399-9fae6eb0018a,b74a655f-a273-4bad-a399-9fae6eb0018a,2020-10-21T13:02:19,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008717, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
