key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-52445737,Dangers of vaccine refusal near the herd immunity threshold: a modelling study,Aug,,,Lancet Infect Dis,1473-3099,15,8,922-6,"Fefferman, N. H. and Naumova, E. N.",,eng,,,"BACKGROUND: Childhood vaccination remains the focus of heated public debate. Parents struggle to understand the potential risks associated with vaccination but both parents and physicians assume that they understand the risks associated with infection. This study was done to characterise how modern vaccination practices have altered patient risks from infection. METHODS: In this modelling study, we use mathematical analysis to explore how modern-era vaccination practices have changed the risks of severe outcomes for some infections by changing the landscape for disease transmission. We show these effects using published data from outbreaks in the USA for measles, chickenpox, and rubella. Calculation of risk estimation was the main outcome of this study. FINDINGS: Our calculations show that negative outcomes are 4.5 times worse for measles, 2.2 times worse for chickenpox, and 5.8 times worse for rubella than would be expected in a pre-vaccine era in which the average age at infection would have been lower. INTERPRETATION: As vaccination makes preventable illness rarer, for some diseases, it also increases the expected severity of each case. Because estimates of case risks rely on data for severity generated during a pre-vaccine era they underestimate negative outcomes in the modern post-vaccine epidemiological landscape. Physicians and parents should understand when making decisions about their children's health and safety that remaining unvaccinated in a predominantly vaccine-protected community exposes their children to the most severe possible outcomes for many preventable diseases. FUNDING: None."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52446324,Enabling implementation of the Global Vaccine Action Plan: Developing investment cases to achieve targets for measles and rubella prevention,Apr,,,Vaccine,0264-410X,31,,B149-B156,"Thompson, K. M. and Strebel, P. M. and Dabbagh, A. and Cherian, T. and Cochi, S. L.",<Go to ISI>://WOS:000318462000017     %[2019-01-15,,,,"Global prevention and control of infectious diseases requires significant investment of financial and human resources and well-functioning leadership and management structures. The reality of competing demands for limited resources leads to trade-offs and questions about the relative value of specific investments. Developing investment cases can help to provide stakeholders with information about the benefits, costs, and risks associated with available options, including examination of social, political, governance, and ethical issues. We describe the process of developing investment cases for globally coordinated management of action plans for measles and rubella as tools for enabling the implementation of the Global Vaccine Action Plan (GVAP). We focus on considerations related to the timing of efforts to achieve measles and rubella goals independently and within the context of ongoing polio eradication efforts, other immunization priorities, and other efforts to control communicable diseases or child survival initiatives. Our analysis suggests that the interactions between the availability and sustainability of financial support, sufficient supplies of vaccines, capacity of vaccine delivery systems, and commitments at all levels will impact the feasibility and timing of achieving national, regional, and global goals. The timing of investments and achievements will determine the net financial and health benefits obtained. The methodology, framing, and assumptions used to characterize net benefits and uncertainties in the investment cases will impact estimates and perceptions about the value of prevention achieved overall by the GVAP. We suggest that appropriately valuing the benefits of investments of measles and rubella prevention will require the use of integrated dynamic disease, economic, risk, and decision analytic models in combination with consideration of qualitative factors, and that synthesizing information in the form of investment cases may help stakeholders manage expectations as they chart the course ahead and navigate the decade of vaccines. (C) 2012 Elsevier Ltd. All rights reserved."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope",,
rayyan-52446331,Enhanced surveillance for congenital Rubella syndrome following mass Rubella vaccination of girls and reproductive-aged women,2011,,,Journal of Infectious Diseases,00221899 (ISSN),204,,S642-S646,"Villagra, E. and Delgado, L. V. and Olea, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053411285&doi=10.1093%2finfdis%2fjir481&partnerID=40&md5=ca37d492b56f6f19f927d48c706cfb2d,English,,,"Chile was the first country in the Americas to conduct surveillance for congenital rubella syndrome (CRS) as part of screening for common causes of congenital birth defects (referred to as TORCH pathogens). The surveillance system identified 15 CRS cases in 1999 and 2 cases in 2000, and it has identified no CRS cases since 2000. CRS surveillance in Chile meets recommended surveillance standards and may serve as a model for CRS surveillance in other countries. © 2011 The Author."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope",,
rayyan-52446367,[The epidemic process in infections before and after active immunization. I. Comparison of long-term monitoring of the disease with a simple mathematical model],Mar,,,Cesk Epidemiol Mikrobiol Imunol,0009-0522 (Print)     0009-0522     %(Epidemicky proces u nekterych infekci pred aktivni imunizaci a po jejim zavedeni. I. Konfrontace dlouhodobeho sledovani nemocnosti s jednoduchym matematickym modelem.,42,1,3-6,"Mimra, J. and Farnik, J.",,cze,,,"In the first part of this paper the authors used for demographic data and morbidity data concerning measles, parotitis, rubella and chickenpox in the Sokolov district a model of exponential distribution, in particular its distribution function. The authors introduced the concept of mean population year. They tested the theoretical assumption that in different infections in long-term average the annual number of infected subjects is equal and equals the mean population year. They found that the delta parameter which determines the shape of the exponential regression curve and is the measure of the rate of spread of a given infection, expressed at the same time numerically by the number of mean population years the mean number of susceptibles which remain permanently in a given population."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52446449,"Estimated economic impact of vaccinations in 73 low- and middle-income countries, 2001-2020",Sep,1,,Bull World Health Organ,0042-9686,95,9,629-638,"Ozawa, S. and Clark, S. and Portnoy, A. and Grewal, S. and Stack, M. L. and Sinha, A. and Mirelman, A. and Franklin, H. and Friberg, I. K. and Tam, Y. and Walker, N. and Clark, A. and Ferrari, M. and Suraratdecha, C. and Sweet, S. and Goldie, S. J. and Garske, T. and Li, M. and Hansen, P. M. and Johnson, H. L. and Walker, D.",,eng,,,"OBJECTIVE: To estimate the economic impact likely to be achieved by efforts to vaccinate against 10 vaccine-preventable diseases between 2001 and 2020 in 73 low- and middle-income countries largely supported by Gavi, the Vaccine Alliance. METHODS: We used health impact models to estimate the economic impact of achieving forecasted coverages for vaccination against Haemophilus influenzae type b, hepatitis B, human papillomavirus, Japanese encephalitis, measles, Neisseria meningitidis serogroup A, rotavirus, rubella, Streptococcus pneumoniae and yellow fever. In comparison with no vaccination, we modelled the costs - expressed in 2010 United States dollars (US$) - of averted treatment, transportation costs, productivity losses of caregivers and productivity losses due to disability and death. We used the value-of-a-life-year method to estimate the broader economic and social value of living longer, in better health, as a result of immunization. FINDINGS: We estimated that, in the 73 countries, vaccinations given between 2001 and 2020 will avert over 20 million deaths and save US$ 350 billion in cost of illness. The deaths and disability prevented by vaccinations given during the two decades will result in estimated lifelong productivity gains totalling US$ 330 billion and US$ 9 billion, respectively. Over the lifetimes of the vaccinated cohorts, the same vaccinations will save an estimated US$ 5 billion in treatment costs. The broader economic and social value of these vaccinations is estimated at US$ 820 billion. CONCLUSION: By preventing significant costs and potentially increasing economic productivity among some of the world's poorest countries, the impact of immunization goes well beyond health."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Model not mechanistic",,
rayyan-52446487,"Estimating the burden of congenital rubella syndrome in Costa Rica, 1996-2001",2007,,,Pediatric Infectious Disease Journal,08913668 (ISSN),26,5,382-386,"Jiménez, G. and Ávila-Aguero, M. L. and Morice, A. and Gutiérrez, H. and Soriano, A. and Badilla, X. and Reef, S. and Castillo-Solórzano, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249021075&doi=10.1097%2f01.inf.0000260000.84792.9e&partnerID=40&md5=03ed4a5d0e49b6ed13ae69625b424193,English,,,"BACKGROUND: The epidemiology of rubella in Costa Rica changed during recent decades, shifting the susceptible groups to the reproductive age. This study estimates the burden of congenital rubella syndrome (CRS) from 1996 to 2001 in this country. METHODS: Three methods to calculate CRS incidence were used. A retrospective search (""Observed cases"") was conducted using hospital discharge records of children born from 1996 to 2001 with selected codes of ICD9 and ICD10 consistent with CRS and children <3 months of age with a positive serologic test for rubella IgM antibody at the National Children′s Hospital (NCH). Cases were classified as either suspected, compatible or confirmed CRS and congenital rubella infection. ""Expected"" incidence of CRS was calculated using reported cases of rubella (women 15-45 years of age) and fertility rates, assuming CRS probability of 0.9 during the first trimester of pregnancy and 0.5 of asymptomatic rubella cases. ""Estimated"" CRS cases were calculated using incidence rates reported from modeling analysis during epidemic and endemic years. RESULTS: Of the 577 discharge charts reviewed and the 66 children reported as rubella IgM(+), 40 compatible CRS cases, 45 confirmed, and 4 with congenital rubella infection cases were identified. The range of annual incidence rate of CRS (per 1000 live births) was as follows: ""Observed"" = 0.00-0.33, ""Expected"" = 0.00-0.35 and ""Estimated"" = 0.5-1.5. Compared with the estimated number of CRS cases, only 27.2% of CRS cases were detected from the retrospective search and 10.1% would be expected when calculated using rubella reported cases. CONCLUSIONS: The under-detection of CRS cases using rubella reported cases in women of reproductive age and retrospective search of CRS reinforces the importance of suspecting CRS in the presence of a single compatible manifestation. Laboratory confirmation is indispensable to implement CRS elimination strategies and should be done in every suspected case. © 2007 Lippincott Williams & Wilkins, Inc."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52446582,"Evaluation of measles mumps, and rubella vaccine coverage in 3 years old children in 12 French countees. Time-trends and related factors",2001,,,Revue d'Epidemiologie et de Sante Publique,03987620 (ISSN),49,4,331-341,"Rotily, M. and Guagliardo, V. and Fontaine, D. and Garros, B. and Mayer, C. and Arrighi, J. and Woronoff, A. S. and Ledesert, B. and Lepec, R. and Chabaud, F. and Janvrin, M. P. and Baudier, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034804676&partnerID=40&md5=2689c726c6be96c5c6d816837ed8aeae,French,,,"Background: The aims of our study were to estimate the measle-mumps-rubella (MMR) vaccine coverage in 3 years old children in 12 French countees, to document the evolution between 1997 and 1999 in two groups of 6 countees (pilot group and control group) before and after the implementation of promotion programmes in the pilot group, and to identify factors related to measle-mumps-rubella vaccination. Methods: Two telephone surveys were carried out in 1997 and 1999 among children randomly selected in the birth rolls of 12 French countees. Parents of 3 years old children were interviewed on measle-mumps-rubella vaccination, knowledge and opinions on vaccinations, utilisation of health care and socio-demographic characteristics. Results: The participation rate was 97% in both surveys. Among the 7382 respondent parents, 98% had immediate access to the child's medical file and could document the vaccine status. The vaccine coverage did not increase significantly between 1997 and 1999 (86.7% versus 87.2%), both in control (89.3% vs. 90.2%) and pilot groups (84.3% vs. 84.3%). A logistic regression model showed that several factors were independently and significantly related to measle-mumps-rubella vaccination (utilisation of homeopathic medicines, mother's age, number of children, physician speciality (general practitioner or pediatrician) and opinion on vaccinations). Conclusion: Our study shows that there is a stagnation of vaccine coverage in several French countees, which makes unlikely the national objective of viruses eradication. This epidemiological situation makes very likely outbreaks of measles, mumps and rubella in these countees. National and local pilot programmes did not succeed to promote vaccination in countees with a low measle-mumps-rubella vaccine coverage. Our study identified sub-groups of parents who should be targeted by promotion programmes."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Model not mechanistic",,
rayyan-52446602,An evaluation of the Australian National Serosurveillance Program,2010,,,Communicable diseases intelligence,07253141 (ISSN),34,1,29-36,"Jardine, A. and Deeks, S. L. and Patel, M. S. and Menzies, R. I. and Gilbert, G. L. and McIntyre, P. B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955494913&partnerID=40&md5=0ab1e10c159b238fdd7a8ab030862b60,English,,,"The Australian National Serosurveillance Program (ANSP) was established in 1997 to provide national estimates of population immunity to vaccine preventable diseases and inform immunisation policy in Australia. The 1st round tested opportunistically collected sera from pathology laboratories across Australia, a 2nd round was carried out in 2002, and a 3rd round of testing is currently ongoing using sera from 2007-08. This is the 1st systematic evaluation of the ANSP since its inception. Existing information and outputs from the ANSP were reviewed and used in conjunction with data collected from a survey of the program operators to evaluate the overall utility of the ANSP and the following system attributes; acceptability, stability, simplicity, flexibility, data quality, sensitivity, representativeness and timeliness. So far the ANSP has generated 26 peer-reviewed publications and provided useful data that have influenced and provided an evidence base for immunisation policy in Australia; for example informing mathematical models, which identified the need for the young adult measles-mumps-rubella immunisation campaign. However, difficulties have been encountered with obtaining enough samples for testing in the 3rd round currently being undertaken. This is a concern that has the potential to undermine the representativeness and stability of the system, and other methods of sample collection must be investigated. Serological surveillance is an important component of any comprehensive system for monitoring population immunity to vaccine preventable diseases and evaluating the effectiveness of immunisation programs. However, an effective ongoing program requires strong support to ensure it remains sustainable in an era when laboratory based population health research for the public good is becoming increasingly challenging."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Topic out of scope",,
rayyan-52446616,Evolution and Use of Dynamic Transmission Models for Measles and Rubella Risk and Policy Analysis,2016,,,Risk analysis : an official publication of the Society for Risk Analysis,15396924 (ISSN),36,7,1383-1403,"Thompson, K. M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027951864&doi=10.1111%2frisa.12637&partnerID=40&md5=7fbf1d254d44de18ac5e96872f5b0673     %[2019-01-15,English,,,"The devastation caused by periodic measles outbreaks motivated efforts over more than a century to mathematically model measles disease and transmission. Following the identification of rubella, which similarly presents with fever and rash and causes congenital rubella syndrome (CRS) in infants born to women first infected with rubella early in pregnancy, modelers also began to characterize rubella disease and transmission. Despite the relatively large literature, no comprehensive review to date provides an overview of dynamic transmission models for measles and rubella developed to support risk and policy analysis. This systematic review of the literature identifies quantitative measles and/or rubella dynamic transmission models and characterizes key insights relevant for prospective modeling efforts. Overall, measles and rubella represent some of the relatively simplest viruses to model due to their ability to impact only humans and the apparent life-long immunity that follows survival of infection and/or protection by vaccination, although complexities arise due to maternal antibodies and heterogeneity in mixing and some models considered potential waning immunity and reinfection. This review finds significant underreporting of measles and rubella infections and widespread recognition of the importance of achieving and maintaining high population immunity to stop and prevent measles and rubella transmission. The significantly lower transmissibility of rubella compared to measles implies that all countries could eliminate rubella and CRS by using combination of measles- and rubella-containing vaccines (MRCVs) as they strive to meet regional measles elimination goals, which leads to the recommendation of changing the formulation of national measles-containing vaccines from measles only to MRCV as the standard of care. © 2016 Society for Risk Analysis."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Review",,
rayyan-52446784,Framework for Optimal Global Vaccine Stockpile Design for Vaccine-Preventable Diseases: Application to Measles and Cholera Vaccines as Contrasting Examples,Jul,,,Risk Analysis,0272-4332,36,7,1487-1509,"Thompson, K. M. and Tebbens, R. J. D.",<Go to ISI>://WOS:000379937700012     %[2019-01-15,,,,"Managing the dynamics of vaccine supply and demand represents a significant challenge with very high stakes. Insufficient vaccine supplies can necessitate rationing, lead to preventable adverse health outcomes, delay the achievements of elimination or eradication goals, and/or pose reputation risks for public health authorities and/or manufacturers. This article explores the dynamics of global vaccine supply and demand to consider the opportunities to develop and maintain optimal global vaccine stockpiles for universal vaccines, characterized by large global demand (for which we use measles vaccines as an example), and nonuniversal (including new and niche) vaccines (for which we use oral cholera vaccine as an example). We contrast our approach with other vaccine stockpile optimization frameworks previously developed for the United States pediatric vaccine stockpile to address disruptions in supply and global emergency response vaccine stockpiles to provide on-demand vaccines for use in outbreaks. For measles vaccine, we explore the complexity that arises due to different formulations and presentations of vaccines, consideration of rubella, and the context of regional elimination goals. We conclude that global health policy leaders and stakeholders should procure and maintain appropriate global vaccine rotating stocks for measles and rubella vaccine now to support current regional elimination goals, and should probably also do so for other vaccines to help prevent and control endemic or epidemic diseases. This work suggests the need to better model global vaccine supplies to improve efficiency in the vaccine supply chain, ensure adequate supplies to support elimination and eradication initiatives, and support progress toward the goals of the Global Vaccine Action Plan."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52446807,A game dynamic model for delayer strategies in vaccinating behaviour for pediatric infectious diseases,2010,,,Journal of Theoretical Biology,00225193 (ISSN),267,3,276-282,"Bhattacharyya, S. and Bauch, C. T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956638104&doi=10.1016%2fj.jtbi.2010.09.005&partnerID=40&md5=f80d38b2ba59b0c30a085b54db39b47f,English,,,"Several studies have found that some parents delay the age at which their children receive pediatric vaccines due to perception of higher vaccine risk at the recommended age of vaccination. This has been particularly apparently during the Measles-Mumps-Rubella scare in the United Kingdom. Under a voluntary vaccination policy, vaccine coverage in certain age groups is a potentially complex interplay between vaccinating behaviour, disease dynamics, and age-specific risk factors. Here, we construct an age-structured game dynamic model, where individuals decide whether to vaccinate according to imitation dynamics depending on age-dependent disease prevalence and perceived risk of vaccination. Individuals may be timely vaccinators, delayers, or non-vaccinators. The model exhibits multiple equilibria and a broad range of possible dynamics. For certain parameter regimes, the proportion of timely vaccinators and delayers oscillate in an anti-phase fashion in response to oscillations in infection prevalence. Under an exogenous change to the perceived risk of vaccination as might occur during a vaccine scare, the model can also capture an increase in delayer strategists similar in magnitude to that observed during the Measles-Mumps-Rubella vaccine scare in the United Kingdom. Our model also shows that number of delayers steadily increases with increasing severity of the scare, whereas it saturates to specific value with increases in duration of the scare. Finally, by comparing the model dynamics with and without the option of a delayer strategy, we show that adding a third delayer strategy can have a stabilizing effect on model dynamics. In an era where individual choice-rather than accessibility-is becoming an increasingly important determinant of vaccine uptake, more infectious disease models may need to use game theory or related techniques to determine vaccine uptake. © 2010 Elsevier Ltd."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Model not mechanistic",,
rayyan-52446889,Global importation and population risk factors for measles in New Zealand: A case study for highly immunized populations,2017,,,Epidemiology and Infection,09502688 (ISSN),145,9,1875-1885,"Hayman, D. T. S. and Marshall, J. C. and French, N. P. and Carpenter, T. E. and Roberts, M. G. and Kiedrzynski, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017497697&doi=10.1017%2fS0950268817000723&partnerID=40&md5=8a426198a5556f4d7c67eae3b7fcc941,English,,,"As endemic measles is eliminated through immunization, countries must determine the risk factors for the importation of measles into highly immunized populations to target control measures. Despite eliminating endemic measles, New Zealand suffers from outbreaks after introductions from abroad, enabling us to use it as a model for measles introduction risk. We used a generalized linear model to analyze risk factors for 1137 measles cases from 2007 to June 2014, provide estimates of national immunity levels, and model measles importation risk. People of European ethnicity made up the majority of measles cases. Age is a positive risk factor, particularly 0-2-year-olds and 5-17-year-old Europeans, along with increased wealth. Pacific islanders were also at greater risk, but due to 0-2-year-old cases. Despite recent high measles, mumps, and rubella vaccine immunization coverage, overall population immunity against measles remains ~90% and is lower in people born between 1982 and 2005. Greatest measles importation risk is during December, and countries predicted to be sources have historical connections and highest travel rates (Australia and UK), followed by Asian countries with high travel rates and higher measles incidences. Our results suggest measles importation due to travel is seeding measles outbreaks, and immunization levels are insufficient to continue to prevent outbreaks because of heterogeneous immunity in the population, leaving particular age groups at risk. © Copyright 2017 Cambridge University Press."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-LABELS: Attention X,J keeping decision | RAYYAN-EXCLUSION-REASONS: Model not mechanistic",,
rayyan-52447120,"Immunity to polio, measles and rubella in women of child-bearing age and estimated congenital rubella syndrome incidence, Cambodia, 2012",Jul,,,Epidemiology and Infection,0950-2688,143,9,1858-1867,"Mao, B. and Chheng, K. and Wannemuehler, K. and Vynnycky, E. and Buth, S. and Soeung, S. C. and Reef, S. and Weldon, W. and Quick, L. and Gregory, C. J.",,,,,"Significant gaps in immunity to polio, measles, and rubella may exist in adults in Cambodia and threaten vaccine-preventable disease (VPD) elimination and control goals, despite high childhood vaccination coverage. We conducted a nationwide serological survey during November-December 2012 of 2154 women aged 15-39 years to assess immunity to polio, measles, and rubella and to estimate congenital rubella syndrome (CRS) incidence. Measles and rubella antibodies were detected by IgG ELISA and polio antibodies by microneutralization testing. Age-structured catalytic models were fitted to rubella serological data to predict CRS cases. Overall, 29.8% of women lacked immunity to at least one poliovirus (PV); seroprevalence to PV1, PV2 and PV3 was 85.9%, 93.4% and 83.3%, respectively. Rubella and measles antibody seroprevalence was 73.3% and 95.9%, respectively. In the 15-19 years age group, 48.2% [95% confidence interval (CI) 42.4-54.1] were susceptible to either PV1 or PV3, and 40.3% (95% CI 33.0-47.5) to rubella virus. Based on rubella antibody seroprevalence, we estimate that >600 infants are born with CRS in Cambodia annually. Significant numbers of Cambodian women are still susceptible to polio and rubella, especially those aged 15-19 years, emphasizing the need to include adults in VPD surveillance and a potential role for vaccination strategies targeted at adults."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Topic out of scope",,
rayyan-52447140,"Impact of birth rate, seasonality and transmission rate on minimum levels of coverage needed for rubella vaccination",Dec,,,Epidemiol Infect,0950-2688,140,12,2290-301,"Metcalf, C. J. and Lessler, J. and Klepac, P. and Cutts, F. and Grenfell, B. T.",,eng,,,"Childhood rubella infection in early pregnancy can lead to fetal death or congenital rubella syndrome (CRS) with multiple disabilities. Reduction of transmission via universal vaccination can prevent CRS, but inadequate coverage may increase CRS numbers by increasing the average age at infection. Consequently, many countries do not vaccinate against rubella. The World Health Organization recommends that for safe rubella vaccination, at least 80% coverage of each birth cohort should be sustained. The nonlinear relationship between CRS burden and infection dynamics has been much studied; however, how the complex interaction between epidemic and demographic dynamics affects minimum safe levels of coverage has not been quantitatively evaluated across scales necessary for a global assessment. We modelled 30-year CRS burdens across epidemiological and demographic settings, including the effect of local interruption of transmission via stochastic fadeout. Necessary minimum vaccination coverage increases markedly with birth and transmission rates, independent of amplitude of seasonal fluctuations in transmission. Susceptible build-up in older age groups following local stochastic extinction of rubella increased CRS burden, indicating that spatial context is important. In low birth-rate settings, 80% routine coverage is a conservative guideline, particularly if supplemented with campaigns and vaccination of women of childbearing age. Where birth and transmission rates are high, immunization coverage must be well above 80% and campaigns may be needed. Policy-makers should be aware of the potential negative effect of local extinction of rubella, since heterogeneity in vaccination coverage will shape extinction patterns, potentially increasing CRS burdens."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52447247,Improving measles incidence inference using age-structured serological data,Oct,,,Epidemiol Infect,0950-2688,146,13,1699-1706,"Prada, J. M. and Metcalf, C. J. E. and Ferrari, M. J.",,eng,,,"Measles is a target for elimination in all six WHO regions by 2020, and over the last decade, there has been considerable progress towards this goal. Surveillance is recognised as a cornerstone of elimination programmes, allowing early identification of outbreaks, thus enabling control and preventing re-emergence. Fever-rash surveillance is increasingly available across WHO regions, and this symptom-based reporting is broadly used for measles surveillance. However, as measles control increases, symptom-based cases are increasingly likely to reflect infection with other diseases with similar symptoms such as rubella, which affects the same populations, and can have a similar seasonality. The WHO recommends that cases from suspected measles outbreaks be laboratory-confirmed, to identify 'true' cases, corresponding to measles IgM titres exceeding a threshold indicative of infection. Although serological testing for IgM has been integrated into the fever-rash surveillance systems in many countries, the logistics of sending in every suspected case are often beyond the health system's capacity. We show how age data from serologically confirmed cases can be leveraged to infer the status of non-tested samples, thus strengthening the information we can extract from symptom-based surveillance. Applying an age-specific confirmation model to data from three countries with divergent epidemiology across Africa, we identify the proportion of cases that need to be serologically tested to achieve target levels of accuracy in estimated infected numbers and discuss how this varies depending on the epidemiological context. Our analysis provides an approach to refining estimates of incidence leveraging all available data, which has the potential to improve allocation of resources, and thus contribute to rapid and efficient control of outbreaks."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52447435,Interpretation of Serological Surveillance Data for Measles Using Mathematical-Models - Implications for Vaccine Strategy,Aug,,,Epidemiology and Infection,0950-2688,115,1,139-156,"Gay, N. J. and Hesketh, L. M. and Morgancapner, P. and Miller, E.",,,,,"Serological surveillance of measles immunity has been carried out in England since 1986/7. Results from sera collected in 1989-91 revealed that the proportion of school age children who were susceptible to measles was increasing, following the introduction of the measles, mumps and rubella vaccination programme in October 1988. Mathematical models are used to interpret these data and determine whether this increasing susceptibility is sufficient to allow a resurgence of disease from the low levels achieved by 1993. The models summarize serological profiles by a single parameter, the reproduction number R, which quantifies the level of herd immunity in the population. Results showed that there was cause for concern over the levels of susceptibility to measles, with an epidemic of over 100000 cases likely in 1995/6. These predictions are consistent with trends in the incidence and age distribution of measles and have enabled the planning of a major vaccination campaign."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52447455,Introduction of rubella-containing-vaccine to Madagascar: implications for roll-out and local elimination,Apr,,,J R Soc Interface,1742-5662,13,117,,"Wesolowski, A. and Mensah, K. and Brook, C. E. and Andrianjafimasy, M. and Winter, A. and Buckee, C. O. and Razafindratsim and resy, R. and Tatem, A. J. and Heraud, J. M. and Metcalf, C. J.",,eng,,,"Few countries in Africa currently include rubella-containing vaccination (RCV) in their immunization schedule. The Global Alliance for Vaccines Initiative (GAVI) recently opened a funding window that has motivated more widespread roll-out of RCV. As countries plan RCV introductions, an understanding of the existing burden, spatial patterns of vaccine coverage, and the impact of patterns of local extinction and reintroduction for rubella will be critical to developing effective programmes. As one of the first countries proposing RCV introduction in part with GAVI funding, Madagascar provides a powerful and timely case study. We analyse serological data from measles surveillance systems to characterize the epidemiology of rubella in Madagascar. Combining these results with data on measles vaccination delivery, we develop an age-structured model to simulate rubella vaccination scenarios and evaluate the dynamics of rubella and the burden of congenital rubella syndrome (CRS) across Madagascar. We additionally evaluate the drivers of spatial heterogeneity in age of infection to identify focal locations where vaccine surveillance should be strengthened and where challenges to successful vaccination introduction are expected. Our analyses indicate that characteristics of rubella in Madagascar are in line with global observations, with an average age of infection near 7 years, and an impact of frequent local extinction with reintroductions causing localized epidemics. Modelling results indicate that introduction of RCV into the routine programme alone may initially decrease rubella incidence but then result in cumulative increases in the burden of CRS in some regions (and transient increases in this burden in many regions). Deployment of RCV with regular supplementary campaigns will mitigate these outcomes. Results suggest that introduction of RCV offers a potential for elimination of rubella in Madagascar, but also emphasize both that targeted vaccination is likely to be a lynchpin of this success, and the public health vigilance that this introduction will require."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52447586,Making vaccination policy: The experience with rubella,1999,,,Clinical Infectious Diseases,10584838 (ISSN),28,6,S140-S146,"Parkman, P. D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033006114&partnerID=40&md5=d8fdfc9a001f7e7c50f0eac0cb2ce8d8,English,,,"The massive rubella epidemic of 1962-1965 stimulated the development of rubella vaccine. Once vaccines were developed, the U.S. vaccination program, initially focused on infants and children, reduced both rubella and congenital rubella. However, later extension of vaccination to certain older age groups achieved significantly better control. While rubella clearly is not the perfect model for pertussis, a review of its history is illuminating. Current rubella vaccination policies resulted from an evolution in scientific understanding. Controversies, including those related to communicability, reactivity, and teratogenicity of the rubella vaccine virus, duration of immunity following vaccination, and protection following reinfection, led countries to use different approaches for national immunization programs. These differences were eventually resolved by clinical and epidemiological research coupled with rigorous scientific debate. Increased scientific understanding of pertussis, its epidemiology, and the effects of the new pertussis vaccines will similarly enable informed decision making on whether to extend pertussis immunization to adolescents and adults."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope",,
