"_0_Reviewer";"paper_title";"publication_year";"paper_doi";"publication_type";"author_affiliation_type";"country_studied";"country_studied_multiple";"country_studied_other";"author_in_country_studied";"disease";"objectives";"other_objective";"individual_representation";"individual_representation_othe";"space_representation";"model_structure";"model_structure_unclear_reason";"parametrization";"validation";"validation_other";"outbreak_type";"intervention_modelled";"intervention_modelled_other";"vax_modelled_with_non_vax";"is_vax_effective";"modelling_timing";"outcome_measured";"outcome_measured_other";"sensitivity_analysis";"data_used";"data_available";"simulation_code_available";"_index"
"james";"Antiviral prophylaxis and isolation for the control of pandemic influenza";"2014";"https://doi.org/10.3390/ijerph110807690";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis isolation";"";"no";"";"prospective";"outcome_other";"Control reproduction number";"yes";"no";"";"no";"11"
"james";"Analysis of a TB model with treatment interruptions";"2016";"https://doi.org/10.22436/jnsa.009.04.13";"original_research";"academic_institutions";"none";"";"";"NA";"Tuberculosis";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"treatment";"";"no";"";"prospective";"outcome_other";"Control reproduction number";"no";"no";"";"no";"12"
"james";"Scenarios of diffusion and control of an influenza pandemic in Italy";"2008";"https://doi.org/10.1017/S095026880800037X";"original_research";"academic_institutions government_institutions";"IT";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"yes";"deterministic stochastic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis distancing school_closure vaccination work_closure intervention_other";"Closure of public places";"yes";"yes";"prospective";"outbreak_duration_and_timing timing_of_peak outcome_other";"Cumulative attack rate";"yes";"yes";"yes";"no";"13"
"james";"Simulating school closure policies for cost effective pandemic decision making";"2012";"https://doi.org/10.1186/1471-2458-12-449";"original_research";"academic_institutions government_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"school_closure";"";"no";"";"prospective";"cost qualys outcome_other";"Incremental Cost Effectiveness Ratio (ICER), Cumulative attack rate";"yes";"yes";"yes";"no";"14"
"james";"Assessing the role of basic control measures, antivirals and vaccine in curtailing pandemic influenza: Scenarios for the US, UK and the Netherlands";"2007";"https://doi.org/10.1098/rsif.2006.0186";"original_research";"academic_institutions";"multiple";"NL GB US";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis treatment vaccination intervention_other";"Reduction of hospital transmission, Reduction of community transmission";"yes";"the_outcomes_were_inconclusive";"prospective";"final_epidemic_size hospitalizations outcome_other";"Deaths";"no";"no";"";"no";"15"
"james";"An Epidemic Patchy Model with Entry–Exit Screening";"2015";"https://doi.org/10.1007/s11538-015-0084-6";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"screening";"";"no";"";"prospective";"outcome_other";"Basic reproduction number";"yes";"no";"";"no";"16"
"james";"The global transmission and control of influenza";"2011";"10.1371/journal.pone.0019515";"original_research";"academic_institutions";"other";"";"Global";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"yes";"stochastic";"";"values_from_literature";"compared_with_data";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"attack_rate outcome_other";"Prevalence";"yes";"yes";"yes";"yes";"17"
"james";"A model for the A(H1N1) epidemic in Mexico, including social isolation";"2011";"https://doi.org/10.1590/s0036-36342011000100007";"original_research";"academic_institutions";"MX";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"isolation";"";"no";"";"retrospective";"timing_of_peak";"";"no";"yes";"no";"no";"18"
"james";"Antiviral treatment for pandemic influenza: Assessing potential repercussions using a seasonally forced SIR model";"2011";"https://doi.org/10.1016/j.jtbi.2011.08.011";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"treatment";"";"no";"";"prospective";"final_epidemic_size timing_of_peak outcome_other";"peak size";"no";"no";"";"no";"19"
"xiaoxi";"Modelling the effect of early detection of Ebola";"2015";"https://doi.org/10.1016/S1473-3099(14)71084-9";"original_research";"academic_institutions government_institutions";"other";"";"West Africa";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"isolation";"";"no";"";"prospective";"attack_rate";"";"no";"no";"";"no";"20"
"xiaoxi";"Cover Your Cough! Quantifying the Benefits of a Localized Healthy Behavior Intervention on Flu Epidemics in Washington DC";"2014";"10.1007/978-3-319-05579-4_17";"conference_proceeding";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"behavioural_change vaccination";"";"yes";"yes";"prospective";"final_epidemic_size timing_of_peak outcome_other";"number of simulations with epidemic outbreak, peak infections";"no";"no";"";"no";"21"
"xiaoxi";"Pandemic simulation of antivirals plus school closures: buying time until strain-specific vaccine is available";"2008";"https://doi.org/10.1007/s10588-008-9027-1";"original_research";"academic_institutions government_institutions";"US";"";"";"yes";"Influenza Pneumococcal_disease";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis school_closure vaccination";"";"no";"";"prospective";"final_epidemic_size timing_of_peak attack_rate case_fatality";"";"no";"no";"";"no";"22"
"james";"Economic evaluation of individual school closure strategies: The Hong Kong 2009 H1N1 pandemic";"2016";"https://doi.org/10.1371/journal.pone.0147052";"original_research";"academic_institutions";"HK";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"yes";"deterministic stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"school_closure";"";"no";"";"retrospective";"cost attack_rate";"";"yes";"yes";"yes";"no";"23"
"james";"Transmission risks and control of foot-and-mouth disease in The Netherlands: Spatial patterns";"2010";"10.1016/j.epidem.2010.03.001";"original_research";"academic_institutions";"NL";"";"";"yes";"FMD";"assess_impact_past";"";"agents";"";"yes";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"culling";"";"no";"";"prospective";"outcome_other";"Effective reproduction number";"yes";"yes";"no";"no";"24"
"xiaoxi";"Modeling options to manage type 1 wild poliovirus imported into Israel in 2013";"2015";"https://doi.org/10.1093/infdis/jiu674";"original_research";"academic_institutions government_institutions";"IL";"";"";"yes";"Poliomyelitis";"assess_impact_past assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"intervention_coverage final_epidemic_size";"";"no";"no";"";"no";"25"
"xiaoxi";"Bayesian Analysis of Severe Acute Respiratory Syndrome: The 2003 Hong Kong Epidemic";"2008";"10.1002/bimj.200710431";"original_research";"academic_institutions";"HK";"";"";"no";"Pneumococcal_disease";"assess_impact_past";"";"compartments";"";"no";"stochastic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"treatment";"";"no";"";"retrospective";"attack_rate";"";"no";"yes";"yes";"no";"26"
"james";"Modeling the effects of H1N1 influenza vaccine distribution in the United States";"2012";"https://doi.org/10.1016/j.jval.2011.07.014";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"yes";"deterministic";"";"values_from_guess_and_expert_opion values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"no";"yes";"yes";"no";"27"
"james";"Spatiotemporal spread of the 2014 outbreak of Ebola virus disease in Liberia and the effectiveness of non-pharmaceutical interventions: a computational modelling analysis";"2015";"https://doi.org/10.1016/S1473-3099(14)71074-6";"original_research";"academic_institutions NGO";"LR";"";"";"no";"Ebola";"assess_impact_past";"";"agents";"";"yes";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"beds PPE_other_1 safe_burial";"";"no";"";"retrospective";"cases_averted final_epidemic_size outcome_other";"Number of deaths";"yes";"yes";"yes";"no";"28"
"james";"Dynamical analysis and control strategies in modelling Ebola virus disease";"2019";"https://doi.org/10.1186/s13662-019-2392-x";"original_research";"academic_institutions";"none";"";"";"NA";"Ebola";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"education";"";"no";"";"prospective";"final_epidemic_size cost";"";"no";"no";"";"no";"29"
"james";"Impact of A Waning Vaccine and Altered Behavior on the Spread of Influenza";"2017";"10.3934/medsci.2017.2.217";"original_research";"academic_institutions government_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"behavioural_change vaccination";"";"yes";"yes";"prospective";"final_epidemic_size timing_of_peak";"";"no";"no";"";"no";"30"
"james";"Estimating Direct and Indirect Protective Effect of Influenza Vaccination in the United States";"2017";"https://doi.org/10.1093/aje/kwx037";"original_research";"academic_institutions government_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"no";"yes";"yes";"no";"31"
"james";"Impact of Public Health Responses During a Measles Outbreak in an Amish Community in Ohio: Modeling the Dynamics of Transmission";"2018";"https://doi.org/10.1093/aje/kwy082";"original_research";"academic_institutions government_institutions";"US";"";"";"yes";"Measles";"assess_impact_past";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"outbreak_duration_and_timing final_epidemic_size outcome_other";"instantaneous reproduction number, case reproduction number";"yes";"yes";"no";"no";"32"
"james";"Effect of chemotherapy on malaria transmission among Yanomami Amerindians: Simulated consequences of placebo treatment";"1999";"https://doi.org/10.4269/ajtmh.1999.60.774";"original_research";"academic_institutions government_institutions";"VE";"";"";"yes";"Malaria";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"treatment intervention_other";"drugs";"no";"";"retrospective";"outcome_other";"Duration of infection";"yes";"yes";"no";"no";"33"
"james";"Effects of reactive social distancing on the 1918 influenza pandemic";"2017";"https://doi.org/10.1371/journal.pone.0180545";"original_research";"academic_institutions";"GB";"";"";"no";"Influenza";"assess_impact_past";"";"compartments";"";"yes";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"behavioural_change";"";"no";"";"retrospective";"final_epidemic_size";"";"no";"yes";"yes";"no";"34"
"xiaoxi";"Stochastic model of an influenza epidemic with drug resistance";"2007";"10.1016/j.jtbi.2007.05.009";"original_research";"academic_institutions government_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature";"compared_with_other_model_output";"";"hypothetical_outbreak";"treatment";"";"no";"";"prospective";"final_epidemic_size attack_rate outcome_other";"resistant cases";"no";"no";"";"no";"35"
"xiaoxi";"Analysis of an SERIV Epidemic Model of Human Influenza";"2017";"https://doi.org/10.2991/ammsa-17.2017.19";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"media_campaign vaccination";"";"no";"";"prospective";"timing_of_peak outcome_other";"Peak size, transmission";"yes";"no";"";"no";"36"
"xiaoxi";"Evaluating targeted interventions via meta-population models with multi-level mixing";"2016";"https://doi.org/10.1016/j.mbs.2016.09.013";"original_research";"academic_institutions government_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"yes";"deterministic";"";"values_from_literature";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"intervention_coverage final_epidemic_size";"";"no";"no";"";"no";"37"
"xiaoxi";"Assessing the impact of travel restrictions on international spread of the 2014 West African Ebola epidemic";"2014";"10.2807/1560-7917.ES2014.19.42.20936";"original_research";"academic_institutions government_institutions";"other";"";"global";"NA";"Ebola";"assess_impact_future";"";"compartments";"";"yes";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"travel_restriction";"";"no";"";"prospective";"outcome_other";"risk of case importation";"yes";"yes";"yes";"no";"38"
"xiaoxi";"Decisions on control of foot-and-mouth disease informed using model predictions";"2013";"https://doi.org/10.1016/j.prevetmed.2013.09.003";"original_research";"academic_institutions";"DK";"";"";"yes";"FMD";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"outbreak_duration_and_timing final_epidemic_size cost";"";"yes";"no";"";"no";"39"
"xiaoxi";"Modelling the Transmission Dynamics and Control of the Novel 2009 Swine Influenza (H1N1) Pandemic";"2011";"10.1007/s11538-010-9538-z";"original_research";"academic_institutions";"CA";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"final_epidemic_size hospitalizations case_fatality";"";"no";"yes";"yes";"no";"40"
"xiaoxi";"Modeling the dynamics of oral poliovirus vaccine cessation";"2014";"https://doi.org/10.1093/infdis/jit845";"original_research";"academic_institutions NGO";"none";"";"";"NA";"Poliomyelitis";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"outcome_other";"Incidence, vaccine-derived virus prevalence, population immunity";"no";"no";"";"no";"41"
"xiaoxi";"Value of inventory information in allocating a limited supply of influenza vaccine during a pandemic";"2018";"https://doi.org/10.1371/journal.pone.0206293";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"intervention_coverage";"";"no";"no";"";"no";"42"
"xiaoxi";"Optimal control and cost-effective analysis of the 2017 meningitis outbreak in Nigeria";"2019";"https://doi.org/10.1016/j.idm.2019.05.003";"original_research";"academic_institutions";"NG";"";"";"no";"Meningococcal_meningitis";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"PPE_other_1 vaccination";"";"yes";"no";"retrospective";"cases_averted cost";"";"yes";"yes";"yes";"no";"43"
"xiaoxi";"Treatment–donation-stockpile dynamics in ebola convalescent blood transfusion therapy";"2015";"http://dx.doi.org/10.1016/j.jtbi.2015.11.031";"original_research";"academic_institutions";"other";"";"West africa";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"real_outbreak";"treatment";"";"no";"";"prospective";"case_fatality";"";"no";"no";"";"no";"44"
"xiaoxi";"Estimated impact of aggressive empirical antiviral treatment in containing an outbreak of pandemic influenza H1N1 in an isolated First Nations community";"2013";"10.1111/irv.12141";"original_research";"academic_institutions government_institutions";"CA";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"antiviral_prophylaxis distancing";"";"no";"";"retrospective";"cases_averted intervention_coverage attack_rate";"";"no";"yes";"yes";"no";"45"
"xiaoxi";"Epidemiology of the silent polio outbreak in Rahat, Israel, based on modeling of environmental surveillance data";"2018";"10.1073/pnas.1808798115";"original_research";"academic_institutions government_institutions NGO";"IL";"";"";"yes";"Poliomyelitis";"assess_impact_past";"";"compartments";"";"no";"stochastic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"no";"yes";"yes";"no";"46"
"xiaoxi";"Characterizing the Epidemiology of the 2009 Influenza A/H1N1 Pandemic in Mexico";"2011";"10.1371/journal.pmed.1000436";"original_research";"academic_institutions government_institutions";"MX";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"yes";"stochastic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"distancing school_closure";"";"no";"";"retrospective";"cases_averted attack_rate";"";"no";"yes";"yes";"no";"47"
"xiaoxi";"Hepatitis B vaccination and changes in sexual risk behaviour among men who have sex with men in Amsterdam";"2008";"https://doi.org/10.1017/S0950268808000976";"original_research";"academic_institutions government_institutions";"NL";"";"";"yes";"Hepatitis_B";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"no";"no";"";"no";"48"
"xiaoxi";"Modelling of the influenza A(H1N1)v outbreak in Mexico City, April-May 2009, with control sanitary measures";"2009";"10.2807/ese.14.26.19254-en";"original_research";"academic_institutions government_institutions";"MX";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"handwashing intervention_other";"sanitary measures";"no";"";"retrospective";"attack_rate";"";"no";"no";"";"no";"49"
"xiaoxi";"A stochastic model of epidemics in military recruits";"1982";"10.1093/milmed/147.5.361";"original_research";"government_institutions";"US";"";"";"yes";"Measles";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"isolation quarantine";"";"no";"";"prospective";"outbreak_duration_and_timing";"";"no";"no";"";"no";"50"
"xiaoxi";"A simulation model for the potential spread of foot-and-mouth disease in the Castile and Leon region of Spain";"2010";"https://doi.org/10.1016/j.prevetmed.2010.05.015";"original_research";"academic_institutions government_institutions NGO";"ES";"";"";"yes";"FMD";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_from_literature";"model_not_validated compared_with_data";"";"hypothetical_outbreak";"vaccination intervention_other";"Preventive depopulation";"yes";"no";"prospective";"outbreak_duration_and_timing";"";"yes";"yes";"yes";"no";"51"
"xiaoxi";"Modeling the impact of optimal screening on typhoid dynamics";"2014";"https://doi.org/10.1007/s40435-014-0123-4";"original_research";"academic_institutions";"none";"";"";"NA";"Typhoid";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"screening";"";"no";"";"prospective";"final_epidemic_size";"";"no";"no";"";"no";"52"
"xiaoxi";"Optimal allocation of pandemic influenza vaccine depends on age, risk and timing";"2008";"https://doi.org/10.1016/j.vaccine.2008.04.043";"original_research";"academic_institutions government_institutions";"NL";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted hospitalizations";"";"yes";"no";"";"no";"53"
"xiaoxi";"Optimal media reporting intensity on mitigating spread of an emerging infectious disease";"2019";"https://doi.org/10.1371/journal.pone.0213898";"original_research";"academic_institutions";"CN";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"media_campaign";"";"no";"";"prospective";"final_epidemic_size outcome_other";"peak magnitude";"yes";"no";"";"no";"54"
"james";"A contact-network-based simulation model for evaluating interventions under 'what-if' scenarios in epidemic";"2012";"https://doi.org/10.1109/wsc.2012.6465056";"conference_proceeding";"academic_institutions";"SG";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"school_closure";"";"no";"";"prospective";"attack_rate outcome_other";"peak incidence, peak day";"no";"no";"";"no";"55"
"xiaoxi";"Modelling the large-scale yellow fever outbreak in Luanda, Angola, and the impact of vaccination";"2018";"https://doi.org/10.1371/journal.pntd.0006158";"original_research";"academic_institutions";"AO";"";"";"no";"Yellow_Fever";"assess_impact_past assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"deaths_averted final_epidemic_size attack_rate case_fatality";"";"yes";"yes";"yes";"no";"56"
"xiaoxi";"Dengue in Madeira Island";"2015";"https://doi.org/10.1007/978-3-319-16118-1_32";"conference_proceeding";"academic_institutions";"PT";"";"";"yes";"Dengue";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"education larvicides";"";"no";"";"prospective";"final_epidemic_size";"";"no";"no";"";"no";"57"
"xiaoxi";"MODELING STRATEGIES FOR CONTROLLING H1N1 OUTBREAKS IN CHINA";"2012";"https://doi.org/10.1142/S1793524511001593";"original_research";"academic_institutions";"CN";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"isolation quarantine";"";"no";"";"retrospective";"attack_rate";"";"no";"yes";"yes";"no";"58"
"xiaoxi";"Is a Mass Immunization Program for Pandemic (H1N1) 2009 Good Value for Money? Early Evidence from the Canadian Experience";"2010";"https://doi.org/10.1016/j.vaccine.2010.07.010";"original_research";"academic_institutions government_institutions NGO";"CA";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"intervention_other";"Mass immunization program";"no";"";"retrospective";"cost hospitalizations qualys";"";"no";"no";"";"no";"59"
